pickup_datetime,passenger_count,trip_distance,pickup_longitude,pickup_latitude,dropoff_longitude,dropoff_latitude,fare_amount,tip_amount,tolls_amount
6/1/2016 12:00,3,2.099999905,-73.96835327,40.80010223,-73.93904114,40.80487823,14,2.950000048,0
6/1/2016 12:00,1,4.199999809,-73.9940567,40.75668335,-73.94394684,40.77794266,23.5,0,0
6/1/2016 12:00,1,2.099999905,-73.98353577,40.72613144,-73.97521973,40.75069809,16.5,3.450000048,0
6/1/2016 12:00,1,0.75999999,-73.98059845,40.75098801,-73.97830963,40.75968552,6.5,1.820000052,0
6/1/2016 12:00,4,1.5,-73.97332001,40.75547409,-73.98826599,40.73934937,11,2.950000048,0
6/1/2016 12:00,1,1.200000048,-74.00675201,40.71773148,-74.01134491,40.72865677,9.5,2,0
6/1/2016 12:00,4,25,-73.97666931,40.79737854,-73.97666931,40.79737854,52,11.64999962,5.539999962
6/1/2016 12:00,2,3,-74.00871277,40.71081162,-73.98789978,40.74966812,19.5,0,0
6/1/2016 12:00,1,1.129999995,-73.99028015,40.75104141,-73.98995209,40.73836899,10,0,0
6/1/2016 12:00,1,4.889999866,-73.99108124,40.76597977,-73.93997192,40.81320953,23,4.760000229,0
6/1/2016 12:00,1,0.699999988,-73.99171448,40.7163353,-73.99093628,40.71264267,6.5,0,0
6/1/2016 12:00,1,1.200000048,-73.98246002,40.76839828,-73.96768188,40.77018738,9,2.900000095,0
6/1/2016 12:00,2,1.100000024,-73.99549866,40.73341751,-73.99373627,40.72058105,11,1.5,0
6/1/2016 12:00,1,5.519999981,-73.97913361,40.7613411,-73.89601898,40.76197815,28,0,0
6/1/2016 12:00,1,1.370000005,-73.9829483,40.76641846,-73.96643829,40.76462936,9,1.960000038,0
6/1/2016 12:00,2,0.720000029,-73.95321655,40.77256012,-73.95787048,40.76858139,5.5,0,0
6/1/2016 12:00,5,1.779999971,-73.97480011,40.75923157,-73.95275879,40.76625824,10,2.700000048,0
6/1/2016 12:00,1,0.870000005,-74.00177002,40.74084091,-73.99082184,40.74187851,9.5,0,0
6/1/2016 12:00,1,1.200000048,-73.97351074,40.75252151,-73.98220825,40.76227951,14,4.440000057,0
6/1/2016 12:00,1,8.899999619,-73.97164154,40.79513168,-73.87300873,40.77439499,30.5,0,5.539999962
6/1/2016 12:00,1,0.100000001,-73.97511292,40.76187515,-73.97384644,40.76068497,4.5,1,0
6/1/2016 12:00,1,1.799999952,-73.996521,40.72551727,-73.99026489,40.74628067,14,0,0
6/1/2016 12:00,1,2.900000095,-73.9736557,40.75761795,-73.97486115,40.78783417,16.5,3.450000048,0
6/1/2016 12:00,1,1.799999952,-73.99008179,40.76710129,-74.00647736,40.75130081,9,1.950000048,0
